filename,width,height,class,xmin,ymin,xmax,ymax
GalvanizeMax_ImageSet/images/hawk/n01605630_2812.JPEG,500,400,2,76,62,498,397
GalvanizeMax_ImageSet/images/cow/n01887787_10338.JPEG,500,368,4,343,122,416,167
GalvanizeMax_ImageSet/images/badger/n02447366_6322.JPEG,200,306,5,0,0,199,305
GalvanizeMax_ImageSet/images/cow/n01887787_1546.JPEG,332,500,4,164,153,322,391
GalvanizeMax_ImageSet/images/cow/n01887787_14446.JPEG,275,206,4,22,33,213,187
GalvanizeMax_ImageSet/images/sage_grouse/n01797601_1720.JPEG,900,600,3,246,80,647,451
GalvanizeMax_ImageSet/images/cow/n01887787_11217.JPEG,500,331,4,157,171,367,261
GalvanizeMax_ImageSet/images/hawk/n01605630_1293.JPEG,500,382,2,54,39,485,368
GalvanizeMax_ImageSet/images/dog/n02084071_1839.JPEG,293,400,1,61,63,286,241
GalvanizeMax_ImageSet/images/dog/n02084071_12317.JPEG,500,375,1,54,1,499,348
GalvanizeMax_ImageSet/images/cow/n01887787_12360.JPEG,500,345,4,42,154,296,331
GalvanizeMax_ImageSet/images/cow/n01887787_6103.JPEG,500,332,4,463,43,499,84
GalvanizeMax_ImageSet/images/cow/n01887787_7173.JPEG,500,375,4,191,129,243,147
GalvanizeMax_ImageSet/images/hawk/n01605630_11930.JPEG,357,500,2,37,20,343,490
GalvanizeMax_ImageSet/images/cow/n01887787_11281.JPEG,500,332,4,270,161,311,227
GalvanizeMax_ImageSet/images/badger/n02447366_6153.JPEG,200,257,5,6,31,193,233
GalvanizeMax_ImageSet/images/sage_grouse/n01797601_281.JPEG,150,100,3,26,11,112,88
GalvanizeMax_ImageSet/images/cow/n01887787_397.JPEG,500,331,4,241,232,264,265
GalvanizeMax_ImageSet/images/cow/n01887787_2443.JPEG,500,331,4,185,209,333,287
GalvanizeMax_ImageSet/images/cow/n01887787_7499.JPEG,500,375,4,248,222,288,249
